signal_type,detected_at,lead_type,lead_key,person_name,person_linkedin_url,headline,company_name,company_linkedin_url,company_website,company_domain,source_url,evidence,metadata_json
competitor_commenter,2026-06-20T14:43:27.618856+00:00,person,person:https://linkedin.com/in/weipeng-zhuo-consulting,Weipeng Zhuo,https://linkedin.com/in/weipeng-zhuo-consulting,"Ex-Meta | CEO, Nexrizen | AI Systems Architect | 2x Startup Founder | Published Researcher | Yogi — For fast relief, try slowing down.",,,,,https://linkedin.com/feed/update/urn:li:ugcPost:7473212159070617600,"The best AI products won't be marketed as AI at all. They'll just be the CRM that suddenly writes better emails, or the scheduling tool that actually understands context. Most businesses don't want to learn new tools, they want their current ones to stop being annoying.","{""comment_age"": ""3h"", ""competitor_name"": ""Ben van Sprundel"", ""competitor_profile_url"": ""https://www.linkedin.com/in/benvansprundel"", ""reaction_type"": """", ""source_post_age"": ""4h""}"
competitor_commenter,2026-06-20T14:43:27.618856+00:00,person,person:https://linkedin.com/in/akshu-grewal,Akshu Grewal,https://linkedin.com/in/akshu-grewal,AI Engineer | Agentic AI Systems · LangGraph · Google ADK · RAG | AI Automation,,,,,https://linkedin.com/feed/update/urn:li:ugcPost:7473212159070617600,The ones that win won't feel like AI at all. They'll just feel like the software finally started doing its job,"{""comment_age"": ""4h"", ""competitor_name"": ""Ben van Sprundel"", ""competitor_profile_url"": ""https://www.linkedin.com/in/benvansprundel"", ""reaction_type"": """", ""source_post_age"": ""4h""}"
competitor_commenter,2026-06-20T14:43:27.618856+00:00,person,person:https://linkedin.com/in/marc-soummer-958baa295,Marc Soummer,https://linkedin.com/in/marc-soummer-958baa295,Founder @ Silverline Growth | Helping Service Businesses Recover Missed Leads,,,,,https://linkedin.com/feed/update/urn:li:ugcPost:7473209528445173760,"When me.md and brand.md are actually aligned you cut down on tone mismatches fast, and keeping strategy.md short with a date makes it obvious when the second brain needs a refresh.","{""comment_age"": ""1d"", ""competitor_name"": ""Ben van Sprundel"", ""competitor_profile_url"": ""https://www.linkedin.com/in/benvansprundel"", ""reaction_type"": """", ""source_post_age"": ""1d""}"
competitor_commenter,2026-06-20T14:43:27.618856+00:00,person,person:https://linkedin.com/in/hisham-h-shihab,Hisham H. Shihab,https://linkedin.com/in/hisham-h-shihab,Drive revenue with production AI systems | Upwork Expert-Vetted top 1%,,,,,https://linkedin.com/feed/update/urn:li:ugcPost:7473207109929828354,"we built something almost identical. centralized quality gate that every piece of content runs through before it goes out. the difference before and after was immediate.. not because the team was producing bad work, but because ""good"" meant something different to every person on the team","{""comment_age"": ""2d"", ""competitor_name"": ""Ben van Sprundel"", ""competitor_profile_url"": ""https://www.linkedin.com/in/benvansprundel"", ""reaction_type"": """", ""source_post_age"": ""2d""}"
competitor_commenter,2026-06-20T14:43:27.618856+00:00,person,person:https://linkedin.com/in/hemantshah94,Hemant Shah,https://linkedin.com/in/hemantshah94,AI Enthusiast & CoFounder @Techinfinity Turning open-source AI into real business leverage | Marketing · Branding · 3D · E-Commerce,,,,,https://linkedin.com/feed/update/urn:li:ugcPost:7467963481405906944,"Ben, I appreciate the focus on leveraging AI effectively—what do you see as the biggest misconception professionals have when trying to integrate AI into their workflows?","{""comment_age"": ""5d"", ""competitor_name"": ""Ben van Sprundel"", ""competitor_profile_url"": ""https://www.linkedin.com/in/benvansprundel"", ""reaction_type"": """", ""source_post_age"": ""2w""}"
competitor_reaction,2026-06-20T14:44:05.194980+00:00,person,person:https://linkedin.com/in/ACoAAECorpUBFqvRp0zyP5ZBF0wxdQJgzLpWrwE,Fareed Iqbal,https://linkedin.com/in/ACoAAECorpUBFqvRp0zyP5ZBF0wxdQJgzLpWrwE,Talking Head Video Editor | Social Media & YouTube Expert,,,,,https://linkedin.com/in/benvansprundel/recent-activity/all,Reacted to Ben van Sprundel's LinkedIn post.,"{""comment_age"": """", ""competitor_name"": ""Ben van Sprundel"", ""competitor_profile_url"": ""https://www.linkedin.com/in/benvansprundel"", ""reaction_type"": ""any"", ""source_post_age"": ""4h""}"
competitor_reaction,2026-06-20T14:44:05.194980+00:00,person,person:https://linkedin.com/in/ACoAAFuEAY4BwwaxYZerIJ-_BWyYwv5J58XR0to,Aviral Chauhan,https://linkedin.com/in/ACoAAFuEAY4BwwaxYZerIJ-_BWyYwv5J58XR0to,"Helping mid-market B2B Organizations and Big Non-Profits Automate Operations, Reduce Manual Work & Scale Revenue with AI | RevOps & GTM",,,,,https://linkedin.com/in/benvansprundel/recent-activity/all,Reacted to Ben van Sprundel's LinkedIn post.,"{""comment_age"": """", ""competitor_name"": ""Ben van Sprundel"", ""competitor_profile_url"": ""https://www.linkedin.com/in/benvansprundel"", ""reaction_type"": ""any"", ""source_post_age"": ""4h""}"
competitor_reaction,2026-06-20T14:44:05.194980+00:00,person,person:https://linkedin.com/in/ACoAABJUyHgBPrH4E1bGSpZhtyxf8sM5qD8JM4o,Ruben van Schie,https://linkedin.com/in/ACoAABJUyHgBPrH4E1bGSpZhtyxf8sM5qD8JM4o,"Inspecteur bij Liftinstituut, AD(H)D-Coach Mind On Adventure",,,,,https://linkedin.com/in/benvansprundel/recent-activity/all,Reacted to Ben van Sprundel's LinkedIn post.,"{""comment_age"": """", ""competitor_name"": ""Ben van Sprundel"", ""competitor_profile_url"": ""https://www.linkedin.com/in/benvansprundel"", ""reaction_type"": ""any"", ""source_post_age"": ""4h""}"
competitor_reaction,2026-06-20T14:44:05.194980+00:00,person,person:https://linkedin.com/in/ACoAAAU80q4Bs215Pvk0md5Zab5pOmXK-k1b9AI,Alexandre Kantjas,https://linkedin.com/in/ACoAAAU80q4Bs215Pvk0md5Zab5pOmXK-k1b9AI,I teach AI and automation,,,,,https://linkedin.com/in/benvansprundel/recent-activity/all,Reacted to Ben van Sprundel's LinkedIn post.,"{""comment_age"": """", ""competitor_name"": ""Ben van Sprundel"", ""competitor_profile_url"": ""https://www.linkedin.com/in/benvansprundel"", ""reaction_type"": ""any"", ""source_post_age"": ""4h""}"
competitor_reaction,2026-06-20T14:44:05.194980+00:00,person,person:https://linkedin.com/in/ACoAAFnr07UBvIp3w_zMBn8k3a8M6RJZ-wPHaGQ,Aloysius Ezeoyili,https://linkedin.com/in/ACoAAFnr07UBvIp3w_zMBn8k3a8M6RJZ-wPHaGQ,Founder @Aloysiuscopy | Scaling Health and Lifestyle Brands with Email & SMS Marketing.,,,,,https://linkedin.com/in/benvansprundel/recent-activity/all,Reacted to Ben van Sprundel's LinkedIn post.,"{""comment_age"": """", ""competitor_name"": ""Ben van Sprundel"", ""competitor_profile_url"": ""https://www.linkedin.com/in/benvansprundel"", ""reaction_type"": ""any"", ""source_post_age"": ""4h""}"
